"cat_num","Latitude","Longitude","quality","link","num_syllables","freq_range_mm","middle_syl_height_mm","duration_mm","two_khz_mm","two_sec_mm","skip_notes","group_letter","group_members"
593724001,41.0026163,-72.2473624,4,"https://macaulaylibrary.org/asset/593724001","","","","","","","","",""
591171921,36.5220667,-86.2396533,4,"https://macaulaylibrary.org/asset/591171921","","","","","","","","",""
590667731,43.4224049,-89.6696873,2,"https://macaulaylibrary.org/asset/590667731","","","","","","","","",""
588788941,41.0341756,-72.1825361,0,"https://macaulaylibrary.org/asset/588788941","","","","","","","","",""
585560261,39.9897364,-83.2542905,0,"https://macaulaylibrary.org/asset/585560261","","","","","","","","",""
585217031,39.9897364,-83.2542905,0,"https://macaulaylibrary.org/asset/585217031","","","","","","","","",""
583778941,41.8633019,-73.987365,0,"https://macaulaylibrary.org/asset/583778941","","","","","","","","",""
583122171,38.487584,-90.612506,0,"https://macaulaylibrary.org/asset/583122171","","","","","","","","",""
582465461,43.2214303,-89.7989726,3,"https://macaulaylibrary.org/asset/582465461","","","","","","","","",""
582052591,45.3509627,-80.0475747,5,"https://macaulaylibrary.org/asset/582052591","","","","","","","","",""
581805751,36.5739053,-93.8014412,0,"https://macaulaylibrary.org/asset/581805751","","","","","","","","",""
581530961,43.3402465,-72.5136801,0,"https://macaulaylibrary.org/asset/581530961","","","","","","","","",""
581210131,40.448641,-80.318434,4,"https://macaulaylibrary.org/asset/581210131","","","","","","","","",""
532680731,39.3297166,-82.3486662,5,"https://macaulaylibrary.org/asset/532680731","","","","","","","","",""
510538621,41.4355842,-71.6682816,4,"https://macaulaylibrary.org/asset/510538621","","","","","","","","",""
481160081,41.4355842,-71.6682816,4,"https://macaulaylibrary.org/asset/481160081","","","","","","","","",""
469856641,44.1017468,-76.0739772,1,"https://macaulaylibrary.org/asset/469856641","","","","","","","","",""
467791111,40.9955955,-72.0642866,4,"https://macaulaylibrary.org/asset/467791111","","","","","","","","",""
463066751,44.7271596,-69.6292992,4.5,"https://macaulaylibrary.org/asset/463066751","","","","","","","","",""
462629081,41.355506,-70.67022,4,"https://macaulaylibrary.org/asset/462629081","","","","","","","","",""
462202331,41.6588008,-87.922318,2,"https://macaulaylibrary.org/asset/462202331","","","","","","","","",""
462022671,41.6588008,-87.922318,5,"https://macaulaylibrary.org/asset/462022671","","","","","","","","",""
461926531,41.6348031,-70.5607738,3,"https://macaulaylibrary.org/asset/461926531","","","","","","","","",""
460802791,41.8633019,-73.987365,3,"https://macaulaylibrary.org/asset/460802791","","","","","","","","",""
460260821,40.9891107,-75.128177,1,"https://macaulaylibrary.org/asset/460260821","","","","","","","","",""
459596501,34.7661532,-76.9556236,3,"https://macaulaylibrary.org/asset/459596501","","","","","","","","",""
459396691,42.4485888,-73.8923353,5,"https://macaulaylibrary.org/asset/459396691","","","","","","","","",""
458660171,41.9461929,-71.3158393,2,"https://macaulaylibrary.org/asset/458660171","","","","","","","","",""
457959311,41.0319425,-74.7411292,2,"https://macaulaylibrary.org/asset/457959311","","","","","","","","",""
457836391,41.6457021,-71.7574177,5,"https://macaulaylibrary.org/asset/457836391","","","","","","","","",""
457743571,42.326697,-85.3473759,3,"https://macaulaylibrary.org/asset/457743571","","","","","","","","",""
456712701,42.326697,-85.3473759,2,"https://macaulaylibrary.org/asset/456712701","","","","","","","","",""
456488831,39.1939588,-77.1060175,4.5,"https://macaulaylibrary.org/asset/456488831","","","","","","","","",""
456440021,38.1031104,-86.9984409,2,"https://macaulaylibrary.org/asset/456440021","","","","","","","","",""
456275251,42.3970664,-75.9642321,3,"https://macaulaylibrary.org/asset/456275251","","","","","","","","",""
362393981,44.901296,-86.020036,3,"https://macaulaylibrary.org/asset/362393981","","","","","","","","",""
353089111,41.3210884,-74.6612025,3,"https://macaulaylibrary.org/asset/353089111","","","","","","","","",""
350620081,41.927895,-73.723911,3.5,"https://macaulaylibrary.org/asset/350620081","","","","","","","","",""
350516801,41.6822544,-71.2382505,3,"https://macaulaylibrary.org/asset/350516801","","","","","","","","",""
349678691,35.8720815,-86.4342499,5,"https://macaulaylibrary.org/asset/349678691","","","","","","","","",""
349383191,44.0304348,-73.4355471,4,"https://macaulaylibrary.org/asset/349383191","","","","","","","","",""
348955771,38.9531953,-74.9086542,2,"https://macaulaylibrary.org/asset/348955771","","","","","","","","",""
347509341,42.3483635,-76.1646831,4.5,"https://macaulaylibrary.org/asset/347509341","","","","","","","","",""
347506751,39.9479768,-75.4458618,4,"https://macaulaylibrary.org/asset/347506751","","","","","","","","",""
346548581,41.288315,-70.005137,3,"https://macaulaylibrary.org/asset/346548581","","","","","","","","",""
345988191,44.4977733,-68.9639614,3.5,"https://macaulaylibrary.org/asset/345988191","","","","","","","","",""
345875671,44.89209,-86.0562086,3,"https://macaulaylibrary.org/asset/345875671","","","","","","","","",""
290696671,41.9303792,-88.4138918,4.86,"https://macaulaylibrary.org/asset/290696671","","","","","","","","",""
251148431,42.3101677,-76.5216895,4,"https://macaulaylibrary.org/asset/251148431","","","","","","","","",""
251147571,42.3101677,-76.5216895,1,"https://macaulaylibrary.org/asset/251147571","","","","","","","","",""
249556361,43.223801,-70.6914961,3,"https://macaulaylibrary.org/asset/249556361","","","","","","","","",""
247661591,34.9064342,-84.3418479,3,"https://macaulaylibrary.org/asset/247661591","","","","","","","","",""
245875971,41.8902521,-88.2231558,3.5,"https://macaulaylibrary.org/asset/245875971","","","","","","","","",""
245802201,39.892282,-74.223711,3,"https://macaulaylibrary.org/asset/245802201","","","","","","","","",""
245569101,41.8902521,-88.2231558,4.33,"https://macaulaylibrary.org/asset/245569101","","","","","","","","",""
245047731,44.811029,-79.645192,3,"https://macaulaylibrary.org/asset/245047731","","","","","","","","",""
244378141,39.374759,-84.7542057,2,"https://macaulaylibrary.org/asset/244378141","","","","","","","","",""
244364991,43.508689,-91.3480461,4,"https://macaulaylibrary.org/asset/244364991","","","","","","","","",""
244223081,40.0735643,-76.8955421,3,"https://macaulaylibrary.org/asset/244223081","","","","","","","","",""
244189181,43.508689,-91.3480461,3,"https://macaulaylibrary.org/asset/244189181","","","","","","","","",""
243605921,30.1558889,-94.2461944,2,"https://macaulaylibrary.org/asset/243605921","","","","","","","","",""
243106401,44.114991,-89.882483,3,"https://macaulaylibrary.org/asset/243106401","","","","","","","","",""
242863161,44.126223,-89.900679,2,"https://macaulaylibrary.org/asset/242863161","","","","","","","","",""
242849461,35.9371866,-84.4212692,3,"https://macaulaylibrary.org/asset/242849461","","","","","","","","",""
242821121,42.3483635,-76.1646831,3,"https://macaulaylibrary.org/asset/242821121","","","","","","","","",""
242674001,39.3297166,-82.3486662,3,"https://macaulaylibrary.org/asset/242674001","","","","","","","","",""
