"cat_num","Latitude","Longitude","quality","link","num_syllables","freq_range_mm","middle_syl_height_mm","duration_mm","two_khz_mm","two_sec_mm","skip_notes","group_letter","group_members"
592208091,41.2902253,-70.0247644,1,"https://macaulaylibrary.org/asset/592208091","","","","","","","","",""
592031161,42.214502,-71.094202,4,"https://macaulaylibrary.org/asset/592031161","","","","","","","","",""
589885581,42.3450877,-76.4879603,1,"https://macaulaylibrary.org/asset/589885581","","","","","","","","",""
588474381,44.9060123,-65.3514812,4.5,"https://macaulaylibrary.org/asset/588474381","","","","","","","","",""
588279941,43.415454,-89.7307706,0,"https://macaulaylibrary.org/asset/588279941","","","","","","","","",""
584676711,29.6734,-81.2625,0,"https://macaulaylibrary.org/asset/584676711","","","","","","","","",""
584364611,29.900115,-81.290928,0,"https://macaulaylibrary.org/asset/584364611","","","","","","","","",""
584138391,38.8755137,-86.8168897,0,"https://macaulaylibrary.org/asset/584138391","","","","","","","","",""
583778931,41.8633019,-73.987365,0,"https://macaulaylibrary.org/asset/583778931","","","","","","","","",""
582588241,44.4604801,-69.8335326,2,"https://macaulaylibrary.org/asset/582588241","","","","","","","","",""
581610611,40.9635235,-73.0153489,1,"https://macaulaylibrary.org/asset/581610611","","","","","","","","",""
581530951,43.3402465,-72.5136801,0,"https://macaulaylibrary.org/asset/581530951","","","","","","","","",""
580429531,37.5434204,-78.0075109,0,"https://macaulaylibrary.org/asset/580429531","","","","","","","","",""
551437161,36.5550163,-76.4466476,2.5,"https://macaulaylibrary.org/asset/551437161","","","","","","","","",""
532680741,39.3297166,-82.3486662,3.5,"https://macaulaylibrary.org/asset/532680741","","","","","","","","",""
481158721,41.4355842,-71.6682816,3.5,"https://macaulaylibrary.org/asset/481158721","","","","","","","","",""
468074411,34.9064342,-84.3418479,3,"https://macaulaylibrary.org/asset/468074411","","","","","","","","",""
464777591,44.5652542,-77.1009064,2,"https://macaulaylibrary.org/asset/464777591","","","","","","","","",""
462154121,41.6588008,-87.922318,3,"https://macaulaylibrary.org/asset/462154121","","","","","","","","",""
461508141,39.4385815,-76.2213028,3,"https://macaulaylibrary.org/asset/461508141","","","","","","","","",""
460802791,41.8633019,-73.987365,3,"https://macaulaylibrary.org/asset/460802791","","","","","","","","",""
460214851,39.6945299,-86.3427785,2,"https://macaulaylibrary.org/asset/460214851","","","","","","","","",""
458546911,41.9968637,-72.4012631,4,"https://macaulaylibrary.org/asset/458546911","","","","","","","","",""
457959281,41.0319425,-74.7411292,2,"https://macaulaylibrary.org/asset/457959281","","","","","","","","",""
456925631,39.1939588,-77.1060175,4,"https://macaulaylibrary.org/asset/456925631","","","","","","","","",""
456440021,38.1031104,-86.9984409,2,"https://macaulaylibrary.org/asset/456440021","","","","","","","","",""
456427911,42.326697,-85.3473759,2,"https://macaulaylibrary.org/asset/456427911","","","","","","","","",""
455910201,41.806442,-70.002341,3,"https://macaulaylibrary.org/asset/455910201","","","","","","","","",""
433207221,42.326697,-85.3473759,2,"https://macaulaylibrary.org/asset/433207221","","","","","","","","",""
357832631,44.647834,-77.1213677,5,"https://macaulaylibrary.org/asset/357832631","","","","","","","","",""
355192681,42.2214298,-71.0612689,4,"https://macaulaylibrary.org/asset/355192681","","","","","","","","",""
353814041,43.999322,-70.572758,4,"https://macaulaylibrary.org/asset/353814041","","","","","","","","",""
353433951,40.625536,-75.9530488,1,"https://macaulaylibrary.org/asset/353433951","","","","","","","","",""
353430651,43.0015609,-77.4553366,3,"https://macaulaylibrary.org/asset/353430651","","","","","","","","",""
353280841,40.4119276,-80.3952026,4.5,"https://macaulaylibrary.org/asset/353280841","","","","","","","","",""
351685781,38.9981643,-84.8125112,4.5,"https://macaulaylibrary.org/asset/351685781","","","","","","","","",""
350755071,41.0319425,-74.7411292,2,"https://macaulaylibrary.org/asset/350755071","","","","","","","","",""
350620081,41.927895,-73.723911,3.5,"https://macaulaylibrary.org/asset/350620081","","","","","","","","",""
350616401,41.0617371,-77.9071884,3,"https://macaulaylibrary.org/asset/350616401","","","","","","","","",""
350616281,41.0617371,-77.9071884,3,"https://macaulaylibrary.org/asset/350616281","","","","","","","","",""
350206591,43.530246,-73.2336617,1.67,"https://macaulaylibrary.org/asset/350206591","","","","","","","","",""
349815621,41.6700588,-70.0253749,2,"https://macaulaylibrary.org/asset/349815621","","","","","","","","",""
349584431,39.650051,-86.350021,1,"https://macaulaylibrary.org/asset/349584431","","","","","","","","",""
349260191,41.7781927,-70.500555,4.33,"https://macaulaylibrary.org/asset/349260191","","","","","","","","",""
348955771,38.9531953,-74.9086542,2,"https://macaulaylibrary.org/asset/348955771","","","","","","","","",""
348736341,38.1079022,-87.4288774,5,"https://macaulaylibrary.org/asset/348736341","","","","","","","","",""
346755291,38.661,-90.758,4,"https://macaulaylibrary.org/asset/346755291","","","","","","","","",""
346446391,42.7466592,-71.7079653,4,"https://macaulaylibrary.org/asset/346446391","","","","","","","","",""
345470201,44.823,-87.315506,3.5,"https://macaulaylibrary.org/asset/345470201","","","","","","","","",""
345470191,44.823,-87.315506,3,"https://macaulaylibrary.org/asset/345470191","","","","","","","","",""
345096511,40.395617,-80.180184,2,"https://macaulaylibrary.org/asset/345096511","","","","","","","","",""
340882871,43.25471,-81.83647,4,"https://macaulaylibrary.org/asset/340882871","","","","","","","","",""
285513361,43.028053,-89.832572,3.5,"https://macaulaylibrary.org/asset/285513361","","","","","","","","",""
251149471,42.3101677,-76.5216895,5,"https://macaulaylibrary.org/asset/251149471","","","","","","","","",""
251148431,42.3101677,-76.5216895,4,"https://macaulaylibrary.org/asset/251148431","","","","","","","","",""
