"cat_num","Latitude","Longitude","quality","link","num_syllables","freq_range_mm","middle_syl_height_mm","duration_mm","two_khz_mm","two_sec_mm","skip_notes","group_letter","group_members"
612461737,42.5781808,-72.0871709,4,"https://macaulaylibrary.org/asset/612461737","","","","","","","","",""
599328731,32.8388516,-94.428885,3,"https://macaulaylibrary.org/asset/599328731","","","","","","","","",""
591733811,44.9060123,-65.3514812,4.5,"https://macaulaylibrary.org/asset/591733811","","","","","","","","",""
591171921,36.5220667,-86.2396533,4,"https://macaulaylibrary.org/asset/591171921","","","","","","","","",""
588890731,44.90742,-65.348108,0,"https://macaulaylibrary.org/asset/588890731","","","","","","","","",""
584696401,43.842692,-73.415286,0,"https://macaulaylibrary.org/asset/584696401","","","","","","","","",""
584696251,43.842692,-73.415286,0,"https://macaulaylibrary.org/asset/584696251","","","","","","","","",""
583122171,38.487584,-90.612506,0,"https://macaulaylibrary.org/asset/583122171","","","","","","","","",""
581610611,40.9635235,-73.0153489,1,"https://macaulaylibrary.org/asset/581610611","","","","","","","","",""
581530961,43.3402465,-72.5136801,0,"https://macaulaylibrary.org/asset/581530961","","","","","","","","",""
581136721,40.448641,-80.318434,4,"https://macaulaylibrary.org/asset/581136721","","","","","","","","",""
580795681,36.2487623,-96.5498418,3.5,"https://macaulaylibrary.org/asset/580795681","","","","","","","","",""
580343491,34.9483203,-82.801891,0,"https://macaulaylibrary.org/asset/580343491","","","","","","","","",""
579999571,39.8819474,-83.2180023,0,"https://macaulaylibrary.org/asset/579999571","","","","","","","","",""
532680731,39.3297166,-82.3486662,5,"https://macaulaylibrary.org/asset/532680731","","","","","","","","",""
481158721,41.4355842,-71.6682816,3.5,"https://macaulaylibrary.org/asset/481158721","","","","","","","","",""
464955361,38.2012946,-90.545454,4.5,"https://macaulaylibrary.org/asset/464955361","","","","","","","","",""
464777591,44.5652542,-77.1009064,2,"https://macaulaylibrary.org/asset/464777591","","","","","","","","",""
462976061,44.5476532,-76.2477188,2,"https://macaulaylibrary.org/asset/462976061","","","","","","","","",""
462953211,41.6588008,-87.922318,3.5,"https://macaulaylibrary.org/asset/462953211","","","","","","","","",""
462807501,41.6822544,-71.2382505,3.5,"https://macaulaylibrary.org/asset/462807501","","","","","","","","",""
462154121,41.6588008,-87.922318,3,"https://macaulaylibrary.org/asset/462154121","","","","","","","","",""
461926531,41.6348031,-70.5607738,3,"https://macaulaylibrary.org/asset/461926531","","","","","","","","",""
461762451,41.6588008,-87.922318,3,"https://macaulaylibrary.org/asset/461762451","","","","","","","","",""
460802791,41.8633019,-73.987365,3,"https://macaulaylibrary.org/asset/460802791","","","","","","","","",""
460482221,41.3932127,-70.5934238,2,"https://macaulaylibrary.org/asset/460482221","","","","","","","","",""
458459241,43.8313207,-73.406589,4,"https://macaulaylibrary.org/asset/458459241","","","","","","","","",""
457959261,41.0319425,-74.7411292,3,"https://macaulaylibrary.org/asset/457959261","","","","","","","","",""
457959241,41.0319425,-74.7411292,2,"https://macaulaylibrary.org/asset/457959241","","","","","","","","",""
457634251,43.0310275,-89.4394713,3,"https://macaulaylibrary.org/asset/457634251","","","","","","","","",""
456745461,41.735262,-70.3847694,5,"https://macaulaylibrary.org/asset/456745461","","","","","","","","",""
456491151,42.2383041,-79.2178738,1,"https://macaulaylibrary.org/asset/456491151","","","","","","","","",""
456275251,42.3970664,-75.9642321,3,"https://macaulaylibrary.org/asset/456275251","","","","","","","","",""
456258551,44.85806,-79.87217,4,"https://macaulaylibrary.org/asset/456258551","","","","","","","","",""
456177831,39.592803,-82.5926042,5,"https://macaulaylibrary.org/asset/456177831","","","","","","","","",""
455910201,41.806442,-70.002341,3,"https://macaulaylibrary.org/asset/455910201","","","","","","","","",""
455702121,41.0319425,-74.7411292,3,"https://macaulaylibrary.org/asset/455702121","","","","","","","","",""
401444551,41.1584379,-80.1921514,2.33,"https://macaulaylibrary.org/asset/401444551","","","","","","","","",""
353504261,40.4119276,-80.3952026,3,"https://macaulaylibrary.org/asset/353504261","","","","","","","","",""
351587931,31.5442786,-89.029008,3.5,"https://macaulaylibrary.org/asset/351587931","","","","","","","","",""
351331421,43.2801663,-81.8125892,4,"https://macaulaylibrary.org/asset/351331421","","","","","","","","",""
350784161,42.4680852,-71.1582396,3,"https://macaulaylibrary.org/asset/350784161","","","","","","","","",""
350755071,41.0319425,-74.7411292,2,"https://macaulaylibrary.org/asset/350755071","","","","","","","","",""
349984501,44.139204,-70.487797,4,"https://macaulaylibrary.org/asset/349984501","","","","","","","","",""
348955771,38.9531953,-74.9086542,2,"https://macaulaylibrary.org/asset/348955771","","","","","","","","",""
347539401,40.321791,-75.4144164,3,"https://macaulaylibrary.org/asset/347539401","","","","","","","","",""
347434931,44.5611781,-77.1010257,3,"https://macaulaylibrary.org/asset/347434931","","","","","","","","",""
347414771,40.139302,-75.242016,2,"https://macaulaylibrary.org/asset/347414771","","","","","","","","",""
345660701,41.4319095,-72.2873071,4.5,"https://macaulaylibrary.org/asset/345660701","","","","","","","","",""
344295491,44.138072,-70.450422,3,"https://macaulaylibrary.org/asset/344295491","","","","","","","","",""
338192851,34.9951463,-82.4032009,4,"https://macaulaylibrary.org/asset/338192851","","","","","","","","",""
252253551,24.6034609,-81.5706199,3,"https://macaulaylibrary.org/asset/252253551","","","","","","","","",""
249667981,27.4522656,-82.6890434,3,"https://macaulaylibrary.org/asset/249667981","","","","","","","","",""
247559681,42.398259,-83.987923,2,"https://macaulaylibrary.org/asset/247559681","","","","","","","","",""
246539381,42.4065808,-71.6990089,2,"https://macaulaylibrary.org/asset/246539381","","","","","","","","",""
246388471,44.5590717,-77.1170926,1,"https://macaulaylibrary.org/asset/246388471","","","","","","","","",""
246303121,41.8902521,-88.2231558,2,"https://macaulaylibrary.org/asset/246303121","","","","","","","","",""
245961121,41.8902521,-88.2231558,3,"https://macaulaylibrary.org/asset/245961121","","","","","","","","",""
245959711,41.8902521,-88.2231558,3,"https://macaulaylibrary.org/asset/245959711","","","","","","","","",""
245875971,41.8902521,-88.2231558,3.5,"https://macaulaylibrary.org/asset/245875971","","","","","","","","",""
245679561,41.3823249,-74.0556476,3,"https://macaulaylibrary.org/asset/245679561","","","","","","","","",""
245666361,42.4259195,-76.3357544,2,"https://macaulaylibrary.org/asset/245666361","","","","","","","","",""
244895281,39.7384247,-77.2546296,4.5,"https://macaulaylibrary.org/asset/244895281","","","","","","","","",""
243485151,44.126715,-89.898883,4,"https://macaulaylibrary.org/asset/243485151","","","","","","","","",""
243308481,39.7100678,-77.9410973,2.5,"https://macaulaylibrary.org/asset/243308481","","","","","","","","",""
242849761,35.9371866,-84.4212692,3,"https://macaulaylibrary.org/asset/242849761","","","","","","","","",""
242428911,44.1263365,-89.8988336,2,"https://macaulaylibrary.org/asset/242428911","","","","","","","","",""
241794781,44.127237,-89.89876,4.5,"https://macaulaylibrary.org/asset/241794781","","","","","","","","",""
241666551,42.4657256,-78.5749054,4,"https://macaulaylibrary.org/asset/241666551","","","","","","","","",""
241452661,41.3432688,-72.4012327,3,"https://macaulaylibrary.org/asset/241452661","","","","","","","","",""
241445141,26.476174,-81.9673795,2,"https://macaulaylibrary.org/asset/241445141","","","","","","","","",""
240872561,41.2170095,-81.5253997,3,"https://macaulaylibrary.org/asset/240872561","","","","","","","","",""
240563071,39.949913,-85.8446145,2,"https://macaulaylibrary.org/asset/240563071","","","","","","","","",""
170120571,43.511015,-91.349913,3.5,"https://macaulaylibrary.org/asset/170120571","","","","","","","","",""
168853931,41.4434217,-73.9734641,3,"https://macaulaylibrary.org/asset/168853931","","","","","","","","",""
166383781,36.08151,-86.39011,4.75,"https://macaulaylibrary.org/asset/166383781","","","","","","","","",""
165340281,43.2801663,-81.8125892,4,"https://macaulaylibrary.org/asset/165340281","","","","","","","","",""
164964751,41.1131688,-75.7244153,3,"https://macaulaylibrary.org/asset/164964751","","","","","","","","",""
164896231,42.4716537,-71.3061941,3.5,"https://macaulaylibrary.org/asset/164896231","","","","","","","","",""
164610321,37.1155324,-84.3473923,4,"https://macaulaylibrary.org/asset/164610321","","","","","","","","",""
164286051,42.2930453,-76.6550678,3.5,"https://macaulaylibrary.org/asset/164286051","","","","","","","","",""
164278691,42.291856,-76.657578,4,"https://macaulaylibrary.org/asset/164278691","","","","","","","","",""
164089981,42.2930453,-76.6550678,3,"https://macaulaylibrary.org/asset/164089981","","","","","","","","",""
163318871,43.508689,-91.3480461,3,"https://macaulaylibrary.org/asset/163318871","","","","","","","","",""
163094451,42.2930453,-76.6550678,4.5,"https://macaulaylibrary.org/asset/163094451","","","","","","","","",""
162640041,41.9303792,-88.4138918,3.5,"https://macaulaylibrary.org/asset/162640041","","","","","","","","",""
105480291,40.7022581,-74.6996035,3,"https://macaulaylibrary.org/asset/105480291","","","","","","","","",""
103815281,38.806077,-78.369289,2,"https://macaulaylibrary.org/asset/103815281","","","","","","","","",""
103524631,42.7015506,-86.1950397,4,"https://macaulaylibrary.org/asset/103524631","","","","","","","","",""
62522901,42.2831722,-76.6559494,4,"https://macaulaylibrary.org/asset/62522901","","","","","","","","",""
62211531,42.2831722,-76.6559494,3.5,"https://macaulaylibrary.org/asset/62211531","","","","","","","","",""
61311911,42.7117584,-73.2501872,3.5,"https://macaulaylibrary.org/asset/61311911","","","","","","","","",""
61272281,35.9567971,-83.8484901,4.67,"https://macaulaylibrary.org/asset/61272281","","","","","","","","",""
61141991,43.3600089,-72.3684454,3.5,"https://macaulaylibrary.org/asset/61141991","","","","","","","","",""
60516251,40.0825987,-76.8834025,3.5,"https://macaulaylibrary.org/asset/60516251","","","","","","","","",""
60322471,37.1524498,-75.9502029,3.33,"https://macaulaylibrary.org/asset/60322471","","","","","","","","",""
139498,39.1145,-86.3978,3,"https://macaulaylibrary.org/asset/139498","","","","","","","","",""
30525701,42.7015506,-86.1950397,3,"https://macaulaylibrary.org/asset/30525701","","","","","","","","",""
30216011,43.0544332,-74.6904659,1.5,"https://macaulaylibrary.org/asset/30216011","","","","","","","","",""
29786321,41.6800919,-85.2662659,3,"https://macaulaylibrary.org/asset/29786321","","","","","","","","",""
