"cat_num","Latitude","Longitude","quality","link","num_syllables","freq_range_mm","middle_syl_height_mm","duration_mm","two_khz_mm","two_sec_mm","skip_notes","group_letter","group_members"
594023291,38.9496222,-74.9220049,4.5,"https://macaulaylibrary.org/asset/594023291","","","","","","","","",""
592031161,42.214502,-71.094202,4,"https://macaulaylibrary.org/asset/592031161","","","","","","","","",""
590302161,37.760254,-78.3810459,1,"https://macaulaylibrary.org/asset/590302161","","","","","","","","",""
588665651,38.5057287,-90.5985832,4,"https://macaulaylibrary.org/asset/588665651","","","","","","","","",""
587822691,36.3998285,-87.2716291,3,"https://macaulaylibrary.org/asset/587822691","","","","","","","","",""
587410551,35.2503297,-87.3546038,0,"https://macaulaylibrary.org/asset/587410551","","","","","","","","",""
585421541,43.3940482,-70.6263399,3,"https://macaulaylibrary.org/asset/585421541","","","","","","","","",""
583807501,43.3940482,-70.6263399,4.5,"https://macaulaylibrary.org/asset/583807501","","","","","","","","",""
581255281,41.6806368,-71.3021922,2,"https://macaulaylibrary.org/asset/581255281","","","","","","","","",""
581177041,36.1521921,-86.9284072,0,"https://macaulaylibrary.org/asset/581177041","","","","","","","","",""
581098561,39.7401108,-77.3969598,1.5,"https://macaulaylibrary.org/asset/581098561","","","","","","","","",""
580673671,29.6734,-81.2625,0,"https://macaulaylibrary.org/asset/580673671","","","","","","","","",""
580503471,32.5295196,-89.9382019,3,"https://macaulaylibrary.org/asset/580503471","","","","","","","","",""
471140511,42.6066224,-78.6235191,3.5,"https://macaulaylibrary.org/asset/471140511","","","","","","","","",""
463904451,41.4434217,-73.9734641,4.33,"https://macaulaylibrary.org/asset/463904451","","","","","","","","",""
462202331,41.6588008,-87.922318,2,"https://macaulaylibrary.org/asset/462202331","","","","","","","","",""
462200711,41.6588008,-87.922318,3.5,"https://macaulaylibrary.org/asset/462200711","","","","","","","","",""
461603881,42.690385,-86.1996317,2,"https://macaulaylibrary.org/asset/461603881","","","","","","","","",""
460896521,42.4925576,-71.0465018,3.5,"https://macaulaylibrary.org/asset/460896521","","","","","","","","",""
459396691,42.4485888,-73.8923353,5,"https://macaulaylibrary.org/asset/459396691","","","","","","","","",""
459126701,44.5201817,-76.2897943,3,"https://macaulaylibrary.org/asset/459126701","","","","","","","","",""
457964911,42.4667,-87.8015,4,"https://macaulaylibrary.org/asset/457964911","","","","","","","","",""
457959281,41.0319425,-74.7411292,2,"https://macaulaylibrary.org/asset/457959281","","","","","","","","",""
457959241,41.0319425,-74.7411292,2,"https://macaulaylibrary.org/asset/457959241","","","","","","","","",""
457251881,43.7379258,-69.8259687,2,"https://macaulaylibrary.org/asset/457251881","","","","","","","","",""
456925631,39.1939588,-77.1060175,4,"https://macaulaylibrary.org/asset/456925631","","","","","","","","",""
401444551,41.1584379,-80.1921514,2.33,"https://macaulaylibrary.org/asset/401444551","","","","","","","","",""
355865931,44.36843,-69.829065,4.5,"https://macaulaylibrary.org/asset/355865931","","","","","","","","",""
352910841,35.8545148,-86.3045248,3,"https://macaulaylibrary.org/asset/352910841","","","","","","","","",""
352496041,41.1286489,-72.2700955,1,"https://macaulaylibrary.org/asset/352496041","","","","","","","","",""
351685781,38.9981643,-84.8125112,4.5,"https://macaulaylibrary.org/asset/351685781","","","","","","","","",""
351587931,31.5442786,-89.029008,3.5,"https://macaulaylibrary.org/asset/351587931","","","","","","","","",""
350383031,41.4700009,-73.25881,3,"https://macaulaylibrary.org/asset/350383031","","","","","","","","",""
349670101,44.7295235,-67.7508144,2.5,"https://macaulaylibrary.org/asset/349670101","","","","","","","","",""
349264041,42.19912,-76.654973,1,"https://macaulaylibrary.org/asset/349264041","","","","","","","","",""
349117581,28.2543021,-82.7427043,3,"https://macaulaylibrary.org/asset/349117581","","","","","","","","",""
348180711,39.7633333,-74.1058333,1,"https://macaulaylibrary.org/asset/348180711","","","","","","","","",""
347064881,44.899371,-86.0208678,4.5,"https://macaulaylibrary.org/asset/347064881","","","","","","","","",""
346325651,42.0212167,-70.8722806,4,"https://macaulaylibrary.org/asset/346325651","","","","","","","","",""
345809461,35.7648102,-86.2915931,4,"https://macaulaylibrary.org/asset/345809461","","","","","","","","",""
345167731,44.5590717,-77.1170926,4,"https://macaulaylibrary.org/asset/345167731","","","","","","","","",""
278496301,42.7182439,-71.4009941,3,"https://macaulaylibrary.org/asset/278496301","","","","","","","","",""
256783821,41.21491,-77.294653,5,"https://macaulaylibrary.org/asset/256783821","","","","","","","","",""
251148521,42.3101677,-76.5216895,4,"https://macaulaylibrary.org/asset/251148521","","","","","","","","",""
246534431,43.2547052,-81.8364716,3,"https://macaulaylibrary.org/asset/246534431","","","","","","","","",""
246303121,41.8902521,-88.2231558,2,"https://macaulaylibrary.org/asset/246303121","","","","","","","","",""
245959311,41.8902521,-88.2231558,3,"https://macaulaylibrary.org/asset/245959311","","","","","","","","",""
245802201,39.892282,-74.223711,3,"https://macaulaylibrary.org/asset/245802201","","","","","","","","",""
245679561,41.3823249,-74.0556476,3,"https://macaulaylibrary.org/asset/245679561","","","","","","","","",""
245622721,38.9338272,-74.9550854,3,"https://macaulaylibrary.org/asset/245622721","","","","","","","","",""
245437541,44.8158722,-69.4343485,3,"https://macaulaylibrary.org/asset/245437541","","","","","","","","",""
244924361,41.6630486,-87.0366169,3,"https://macaulaylibrary.org/asset/244924361","","","","","","","","",""
244883931,39.814338,-83.9908218,3,"https://macaulaylibrary.org/asset/244883931","","","","","","","","",""
244434351,39.949913,-85.8446145,1,"https://macaulaylibrary.org/asset/244434351","","","","","","","","",""
244214281,40.0735643,-76.8955421,3,"https://macaulaylibrary.org/asset/244214281","","","","","","","","",""
243854791,24.6521268,-81.5158081,3,"https://macaulaylibrary.org/asset/243854791","","","","","","","","",""
243575461,41.234095,-81.524971,2,"https://macaulaylibrary.org/asset/243575461","","","","","","","","",""
243274451,44.157403,-89.855397,3,"https://macaulaylibrary.org/asset/243274451","","","","","","","","",""
243186891,37.189522,-78.821437,3,"https://macaulaylibrary.org/asset/243186891","","","","","","","","",""
242777631,44.0082861,-70.9869234,3,"https://macaulaylibrary.org/asset/242777631","","","","","","","","",""
242777021,40.2732147,-77.184931,3,"https://macaulaylibrary.org/asset/242777021","","","","","","","","",""
242175331,37.462891,-77.9100446,4.75,"https://macaulaylibrary.org/asset/242175331","","","","","","","","",""
241212301,43.5287596,-73.2130133,3,"https://macaulaylibrary.org/asset/241212301","","","","","","","","",""
241206331,41.736573,-73.119155,3,"https://macaulaylibrary.org/asset/241206331","","","","","","","","",""
240872491,41.2170095,-81.5253997,3,"https://macaulaylibrary.org/asset/240872491","","","","","","","","",""
240843801,40.0916122,-76.8704581,3,"https://macaulaylibrary.org/asset/240843801","","","","","","","","",""
240615251,41.0290844,-72.1875189,3.5,"https://macaulaylibrary.org/asset/240615251","","","","","","","","",""
240410261,44.307495,-69.847385,3.5,"https://macaulaylibrary.org/asset/240410261","","","","","","","","",""
213390921,44.1041685,-90.65625,2.67,"https://macaulaylibrary.org/asset/213390921","","","","","","","","",""
168853931,41.4434217,-73.9734641,3,"https://macaulaylibrary.org/asset/168853931","","","","","","","","",""
167954331,38.1031104,-86.9984409,2,"https://macaulaylibrary.org/asset/167954331","","","","","","","","",""
167128111,41.3621064,-70.7555263,4.5,"https://macaulaylibrary.org/asset/167128111","","","","","","","","",""
