"cat_num","Latitude","Longitude","quality","link","num_syllables","freq_range_mm","middle_syl_height_mm","duration_mm","two_khz_mm","two_sec_mm","skip_notes","group_letter","group_members"
598202311,39.3063972,-82.2784829,3,"https://macaulaylibrary.org/asset/598202311","","","","","","","","",""
594023291,38.9496222,-74.9220049,4.5,"https://macaulaylibrary.org/asset/594023291","","","","","","","","",""
589775371,38.4452,-76.02782,2,"https://macaulaylibrary.org/asset/589775371","","","","","","","","",""
589005091,44.0966746,-76.0741866,2,"https://macaulaylibrary.org/asset/589005091","","","","","","","","",""
588890731,44.90742,-65.348108,0,"https://macaulaylibrary.org/asset/588890731","","","","","","","","",""
587470411,35.2503297,-87.3546038,0,"https://macaulaylibrary.org/asset/587470411","","","","","","","","",""
585685611,40.448641,-80.318434,4.5,"https://macaulaylibrary.org/asset/585685611","","","","","","","","",""
585560261,39.9897364,-83.2542905,0,"https://macaulaylibrary.org/asset/585560261","","","","","","","","",""
584696121,43.8313207,-73.406589,0,"https://macaulaylibrary.org/asset/584696121","","","","","","","","",""
583724261,38.726594,-86.687611,5,"https://macaulaylibrary.org/asset/583724261","","","","","","","","",""
581610611,40.9635235,-73.0153489,1,"https://macaulaylibrary.org/asset/581610611","","","","","","","","",""
580795681,36.2487623,-96.5498418,3.5,"https://macaulaylibrary.org/asset/580795681","","","","","","","","",""
580617931,39.1769171,-77.1660268,0,"https://macaulaylibrary.org/asset/580617931","","","","","","","","",""
481160081,41.4355842,-71.6682816,4,"https://macaulaylibrary.org/asset/481160081","","","","","","","","",""
465163251,39.212643,-89.027949,2,"https://macaulaylibrary.org/asset/465163251","","","","","","","","",""
464955361,38.2012946,-90.545454,4.5,"https://macaulaylibrary.org/asset/464955361","","","","","","","","",""
464694351,27.5095641,-82.6649941,2.5,"https://macaulaylibrary.org/asset/464694351","","","","","","","","",""
464455931,33.1479624,-83.7534984,2,"https://macaulaylibrary.org/asset/464455931","","","","","","","","",""
464018931,37.549989,-90.846613,1.5,"https://macaulaylibrary.org/asset/464018931","","","","","","","","",""
463904451,41.4434217,-73.9734641,4.33,"https://macaulaylibrary.org/asset/463904451","","","","","","","","",""
463066751,44.7271596,-69.6292992,4.5,"https://macaulaylibrary.org/asset/463066751","","","","","","","","",""
463018961,41.016011,-74.745018,3,"https://macaulaylibrary.org/asset/463018961","","","","","","","","",""
462681791,29.890192,-81.29045,3,"https://macaulaylibrary.org/asset/462681791","","","","","","","","",""
462461111,41.9024285,-86.5982959,2,"https://macaulaylibrary.org/asset/462461111","","","","","","","","",""
461926531,41.6348031,-70.5607738,3,"https://macaulaylibrary.org/asset/461926531","","","","","","","","",""
461289781,38.82111,-77.54685,4.5,"https://macaulaylibrary.org/asset/461289781","","","","","","","","",""
460214851,39.6945299,-86.3427785,2,"https://macaulaylibrary.org/asset/460214851","","","","","","","","",""
459003271,32.763541,-94.477647,3,"https://macaulaylibrary.org/asset/459003271","","","","","","","","",""
458292461,35.7506535,-78.2783659,2,"https://macaulaylibrary.org/asset/458292461","","","","","","","","",""
457959281,41.0319425,-74.7411292,2,"https://macaulaylibrary.org/asset/457959281","","","","","","","","",""
457634251,43.0310275,-89.4394713,3,"https://macaulaylibrary.org/asset/457634251","","","","","","","","",""
457251881,43.7379258,-69.8259687,2,"https://macaulaylibrary.org/asset/457251881","","","","","","","","",""
457002851,42.6066224,-78.6235191,5,"https://macaulaylibrary.org/asset/457002851","","","","","","","","",""
456488831,39.1939588,-77.1060175,4.5,"https://macaulaylibrary.org/asset/456488831","","","","","","","","",""
456275251,42.3970664,-75.9642321,3,"https://macaulaylibrary.org/asset/456275251","","","","","","","","",""
436661701,41.461497,-71.362488,4,"https://macaulaylibrary.org/asset/436661701","","","","","","","","",""
357832631,44.647834,-77.1213677,5,"https://macaulaylibrary.org/asset/357832631","","","","","","","","",""
354190671,39.416827,-76.8318386,3,"https://macaulaylibrary.org/asset/354190671","","","","","","","","",""
353858011,42.435794,-71.265092,3,"https://macaulaylibrary.org/asset/353858011","","","","","","","","",""
351587931,31.5442786,-89.029008,3.5,"https://macaulaylibrary.org/asset/351587931","","","","","","","","",""
351515441,43.4569605,-73.1618786,2,"https://macaulaylibrary.org/asset/351515441","","","","","","","","",""
350512771,41.1467412,-79.4988137,4,"https://macaulaylibrary.org/asset/350512771","","","","","","","","",""
349781461,36.442576,-79.795751,3,"https://macaulaylibrary.org/asset/349781461","","","","","","","","",""
349678691,35.8720815,-86.4342499,5,"https://macaulaylibrary.org/asset/349678691","","","","","","","","",""
349260191,41.7781927,-70.500555,4.33,"https://macaulaylibrary.org/asset/349260191","","","","","","","","",""
347425421,44.478032,-70.327741,4,"https://macaulaylibrary.org/asset/347425421","","","","","","","","",""
344868191,42.3483635,-76.1646831,3,"https://macaulaylibrary.org/asset/344868191","","","","","","","","",""
286857651,43.508689,-91.3480461,3.5,"https://macaulaylibrary.org/asset/286857651","","","","","","","","",""
278496301,42.7182439,-71.4009941,3,"https://macaulaylibrary.org/asset/278496301","","","","","","","","",""
265269951,41.542976,-70.62774,3,"https://macaulaylibrary.org/asset/265269951","","","","","","","","",""
251149471,42.3101677,-76.5216895,5,"https://macaulaylibrary.org/asset/251149471","","","","","","","","",""
248588171,42.7883464,-74.8642731,3,"https://macaulaylibrary.org/asset/248588171","","","","","","","","",""
246316311,41.398273,-70.704334,3,"https://macaulaylibrary.org/asset/246316311","","","","","","","","",""
245961121,41.8902521,-88.2231558,3,"https://macaulaylibrary.org/asset/245961121","","","","","","","","",""
245666361,42.4259195,-76.3357544,2,"https://macaulaylibrary.org/asset/245666361","","","","","","","","",""
244883931,39.814338,-83.9908218,3,"https://macaulaylibrary.org/asset/244883931","","","","","","","","",""
243331781,40.0587274,-82.2385293,3,"https://macaulaylibrary.org/asset/243331781","","","","","","","","",""
243319641,44.1263648,-89.8989901,3,"https://macaulaylibrary.org/asset/243319641","","","","","","","","",""
242849461,35.9371866,-84.4212692,3,"https://macaulaylibrary.org/asset/242849461","","","","","","","","",""
242237151,36.2488764,-87.9298711,3,"https://macaulaylibrary.org/asset/242237151","","","","","","","","",""
241611731,25.948098,-81.74456,2,"https://macaulaylibrary.org/asset/241611731","","","","","","","","",""
241206331,41.736573,-73.119155,3,"https://macaulaylibrary.org/asset/241206331","","","","","","","","",""
240872561,41.2170095,-81.5253997,3,"https://macaulaylibrary.org/asset/240872561","","","","","","","","",""
240506761,44.7258086,-86.111324,3,"https://macaulaylibrary.org/asset/240506761","","","","","","","","",""
203918831,25.9496,-81.7505,4.2,"https://macaulaylibrary.org/asset/203918831","","","","","","","","",""
194923271,40.3023744,-77.6045465,1,"https://macaulaylibrary.org/asset/194923271","","","","","","","","",""
167954331,38.1031104,-86.9984409,2,"https://macaulaylibrary.org/asset/167954331","","","","","","","","",""
167245511,40.448641,-80.318434,3.5,"https://macaulaylibrary.org/asset/167245511","","","","","","","","",""
166810221,41.59888,-73.321405,2.25,"https://macaulaylibrary.org/asset/166810221","","","","","","","","",""
164651831,25.948098,-81.74456,3,"https://macaulaylibrary.org/asset/164651831","","","","","","","","",""
164286051,42.2930453,-76.6550678,3.5,"https://macaulaylibrary.org/asset/164286051","","","","","","","","",""
164064221,40.1994676,-75.4040945,2.5,"https://macaulaylibrary.org/asset/164064221","","","","","","","","",""
164023851,43.5086506,-91.3480252,4.5,"https://macaulaylibrary.org/asset/164023851","","","","","","","","",""
