cat_num,Latitude,Longitude,link,measurement,measurement_units,skip_notes
73975201,32.3131068,-110.8113941,https://macaulaylibrary.org/asset/73975201,11,number of syllables per trill,
159605231,31.7756392,-109.3129241,https://macaulaylibrary.org/asset/159605231,,,skipped to save time!
237177601,32.8491702,-94.4393671,https://macaulaylibrary.org/asset/237177601,6,number of syllables per trill,
350775831,33.8078217,-93.776722,https://macaulaylibrary.org/asset/350775831,7,number of syllables per trill,
151389891,34.9833154,-92.3728752,https://macaulaylibrary.org/asset/151389891,,,skipped to save time!
166685091,40.569363,-91.658238,https://macaulaylibrary.org/asset/166685091,21,number of syllables per trill,
401912351,37.35873,-90.02369,https://macaulaylibrary.org/asset/401912351,,,skipped to save time!
326928961,35.09133,-89.6534157,https://macaulaylibrary.org/asset/326928961,12,number of syllables per trill,
162914431,41.9303792,-88.4138918,https://macaulaylibrary.org/asset/162914431,16,number of syllables per trill,
164618661,41.643066,-87.06227,https://macaulaylibrary.org/asset/164618661,,,skipped to save time!
176129,39.1098658,-86.1951256,https://macaulaylibrary.org/asset/176129,16,number of syllables per trill,
169514491,42.326697,-85.3473759,https://macaulaylibrary.org/asset/169514491,,,too quiet
95924471,35.9511223,-84.2392109,https://macaulaylibrary.org/asset/95924471,17,number of syllables per trill,
155436141,35.7162847,-83.7721378,https://macaulaylibrary.org/asset/155436141,22,number of syllables per trill,
104807001,35.7277016,-82.7044773,https://macaulaylibrary.org/asset/104807001,,,skipped to save time!
333286231,40.200216,-81.775286,https://macaulaylibrary.org/asset/333286231,9,number of syllables per trill,
154780111,25.5400214,-80.3274608,https://macaulaylibrary.org/asset/154780111,13,number of syllables per trill,
327644691,36.0292974,-79.2212739,https://macaulaylibrary.org/asset/327644691,,,skipped to save time!
110249,39.5180556,-78.15,https://macaulaylibrary.org/asset/110249,16,number of syllables per trill,
345167731,44.5590717,-77.1170926,https://macaulaylibrary.org/asset/345167731,,,skipped to save time!
161653061,42.2930453,-76.6550678,https://macaulaylibrary.org/asset/161653061,13,number of syllables per trill,
101956201,39.579976,-75.8525169,https://macaulaylibrary.org/asset/101956201,,,skipped to save time!
337914061,40.6284153,-74.8412704,https://macaulaylibrary.org/asset/337914061,14,number of syllables per trill,
338324401,43.530246,-73.2336617,https://macaulaylibrary.org/asset/338324401,14,number of syllables per trill,
393460951,43.446775,-72.4026897,https://macaulaylibrary.org/asset/393460951,,,skipped to save time!
244615341,42.7466592,-71.7079653,https://macaulaylibrary.org/asset/244615341,26,number of syllables per trill,
265271841,41.6066506,-70.5907631,https://macaulaylibrary.org/asset/265271841,,,skipped to save time!
99944781,43.9032337,-69.9466896,https://macaulaylibrary.org/asset/99944781,12,number of syllables per trill,
