ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
403435341,Audio,Prairie Warbler,Setophaga discolor,"Colaptes auratus -- Northern Flicker; Geothlypis trichas -- Common Yellowthroat",Dave C.,2021-05-07,2021,5,7,1055,United States,US-RI-005,Rhode Island,Newport,Norman Bird Sanctuary,41.4994349,-71.2529254,Adult Male – 1,Song,Not Used,"","",,,iPhone XR,iPhone XR,None,,S87347449,"",,,Norman Bird Sanctuary ,,Setophaga discolor,prawar,Species,33061,,2.00,1,"",,
401912351,Audio,Prairie Warbler,Setophaga discolor,"Vireo griseus -- White-eyed Vireo; Corvus brachyrhynchos -- American Crow; Passerina cyanea -- Indigo Bunting; Empidonax virescens -- Acadian Flycatcher; Cardinalis cardinalis -- Northern Cardinal",Michael S Taylor,2021-06-24,2021,6,24,624,United States,US-MO-017,Missouri,Bollinger,3Cat Acres,37.3587300,-90.0236900,Adult Male – 1,Song,Not Used,"","",,,Sound Devices MixPre-3,Sennheiser ME62 Shotgun,"Telinga 22"" Parabola",,S90684813,"",,,,,Setophaga discolor,prawar,Species,33061,,4.00,1,"",,
394638441,Audio,Prairie Warbler,Setophaga discolor,,Nick Varvel,2018-06-02,2018,6,2,1027,United States,US-KS-167,Kansas,Russell,"stakeout Prairie Warbler, Dorrance (2018)",38.9218190,-98.6569590,Adult Male – 1,Song,Not Used,"","",,,iPhone 7,iPhone 7,,,S98675498,"",,,,,Setophaga discolor,prawar,Species,33061,,3.00,1,"",,
393460951,Audio,Prairie Warbler,Setophaga discolor,"Cyanocitta cristata -- Blue Jay; Setophaga virens -- Black-throated Green Warbler; Setophaga caerulescens -- Black-throated Blue Warbler",Amy Swarr,2021-05-08,2021,5,8,1359,United States,US-VT-027,Vermont,Windsor,Powerlines Trail,43.4467750,-72.4026897,Adult Male – 1,Song,Unspecified,"","",,,Samsung-SM-G930V,,,,S87494189,"",,,Male singing.,First of season,Setophaga discolor,prawar,Species,33061,,4.00,1,"",,
391424721,Audio,Prairie Warbler,Setophaga discolor,"Dumetella carolinensis -- Gray Catbird; Agelaius phoeniceus -- Red-winged Blackbird; Cardinalis cardinalis -- Northern Cardinal; Cistothorus palustris -- Marsh Wren; Melanerpes carolinus -- Red-bellied Woodpecker; Quiscalus quiscula -- Common Grackle",Marian Jordan,2017-05-29,2017,5,29,1219,United States,US-NJ-011,New Jersey,Cumberland,Bivalve--High St,39.2337656,-75.0365728,Adult – 1,Song,Not Used,"","",,,iPhone 5,none,none,,S37345573,"",,,"Call at 5, 27, 48 and 106 seconds.",,Setophaga discolor,prawar,Species,33061,,2.00,1,"",,
389480741,Audio,Prairie Warbler,Setophaga discolor,Dryocopus pileatus -- Pileated Woodpecker,Daniel S.,2015-04-30,2015,4,30,704,United States,US-DC-001,District of Columbia,District of Columbia,Rock Creek Park--Nature Center area,38.9594020,-77.0514120,"",Song,Not Used,"","",,,iPhone,,,,S23143917,"",,,,,Setophaga discolor,prawar,Species,33061,,2.00,1,"",,
354608991,Audio,Prairie Warbler,Setophaga discolor,"Passerina cyanea -- Indigo Bunting; Corvus brachyrhynchos -- American Crow; Setophaga americana -- Northern Parula; Baeolophus bicolor -- Tufted Titmouse; Spinus tristis -- American Goldfinch",Michael S Taylor,2021-07-09,2021,7,9,738,United States,US-MO-017,Missouri,Bollinger,3Cat Acres,37.3587300,-90.0236900,Adult Male – 1,Song,Not Used,"","",,,Sound Devices MixPre-3,Sennheiser ME62 Shotgun,"Telinga 22"" Parabola",,S91477929,"",,,,,Setophaga discolor,prawar,Species,32879,,3.00,1,"",,
353246691,Audio,Prairie Warbler,Setophaga discolor,"Vireo griseus -- White-eyed Vireo; Pipilo erythrophthalmus -- Eastern Towhee; Spizella pusilla -- Field Sparrow; Icteria virens -- Yellow-breasted Chat",Martin Wall,2021-07-03,2021,7,3,535,United States,US-NC-157,North Carolina,Rockingham,"27288, Eden US-NC (36.4426,-79.7958)",36.4425760,-79.7957510,"","Call; Song",Not Used,"","",,,iPhone SE,,,,S91168080,"",,,several birds,,Setophaga discolor,prawar,Species,32879,,2.00,1,"",,
353245901,Audio,Prairie Warbler,Setophaga discolor,"Icteria virens -- Yellow-breasted Chat; Vireo griseus -- White-eyed Vireo",Martin Wall,2021-06-28,2021,6,28,711,United States,US-NC-157,North Carolina,Rockingham,"Buffalo Rd, Eden US-NC (36.5409,-79.6354)",36.5409490,-79.6353900,Adult Male – 1,Song,Not Used,"","",,,iPhone SE,,,,S90918387,"",,,,Immature following adult with male singing nearby...finally saw it being fed,Setophaga discolor,prawar,Species,32879,,2.00,1,"",,
352910841,Audio,Prairie Warbler,Setophaga discolor,Cardinalis cardinalis -- Northern Cardinal,Carole Swann,2021-07-07,2021,7,7,710,United States,US-TN-149,Tennessee,Rutherford,Flat Rock Cedar Glades SNA,35.8545148,-86.3045248,Unknown – 1,Song,Not Used,"","",,,iPhone Xr,Built-in microphone,,,S91389531,"",,,"Prairie Warbler's zee, zee, song rising up the scale.  Northern Cardinal's ""cheer, cheer"".  In the background.  ",Heard at 4 different locations on walk.,Setophaga discolor,prawar,Species,33061,,3.00,1,"",,
