cat_num,Latitude,Longitude,quality,link,num_syllables,freq_range_mm,duration_mm,two_khz_mm,two_sec_mm,skip_notes,group_letter,group_members
61284231,36.19755,-84.2295,3,https://macaulaylibrary.org/asset/61284231,14,17,117,11,120,,K,Dana
61272281,35.9568,-83.8485,4.67,https://macaulaylibrary.org/asset/61272281,19,16,129,11,120,,K,Dana
61231861,30.88388,-90.7126,3.5,https://macaulaylibrary.org/asset/61231861,7,14,113,11,120,,K,Dana
61141991,43.36001,-72.3684,3.5,https://macaulaylibrary.org/asset/61141991,8,12,53,11,120,,K,Dana
61131921,38.10532,-87.4444,3,https://macaulaylibrary.org/asset/61131921,12,14,106,11,120,,K,Dana
60938711,45.09433,-72.091,4,https://macaulaylibrary.org/asset/60938711,15,16,132,11,120,,K,Dana
60886961,42.24001,-72.6513,4.5,https://macaulaylibrary.org/asset/60886961,19,11,91,11,120,,K,Dana
60869801,45.09433,-72.091,4,https://macaulaylibrary.org/asset/60869801,10,9,123,11,120,,K,Dana
60516251,40.0826,-76.8834,3.5,https://macaulaylibrary.org/asset/60516251,6,28,34,11,120,,K,Dana
60401071,35.7277,-82.7045,3,https://macaulaylibrary.org/asset/60401071,14,4,126,11,120,,K,Dana
60374151,42.4667,-87.8015,3.5,https://macaulaylibrary.org/asset/60374151,17,16,120,9,110,,K,Bryce
60322471,37.15245,-75.9502,3.33,https://macaulaylibrary.org/asset/60322471,11,6,150,9,110,,K,Bryce
60164091,45.09433,-72.091,3,https://macaulaylibrary.org/asset/60164091,7,6,138,9,110,,K,Bryce
60151981,41.12496,-93.0777,4.67,https://macaulaylibrary.org/asset/60151981,11,25,84,9,110,,K,Bryce
59956081,39.63807,-91.4417,3.33,https://macaulaylibrary.org/asset/59956081,7,13,94,9,110,,K,Bryce
41905021,44.7074,-92.8238,3,https://macaulaylibrary.org/asset/41905021,19,18,100,9,110,,K,Bryce
34902511,43.57546,-73.409,4.5,https://macaulaylibrary.org/asset/34902511,15,15,94,9,110,,K,Bryce
213680,42.42813,-76.3359,4,https://macaulaylibrary.org/asset/213680,10,9,131,9,110,,K,Bryce
139498,39.1145,-86.3978,3,https://macaulaylibrary.org/asset/139498,24,8,148,9,110,,K,Bryce
31164951,41.42196,-72.8979,3,https://macaulaylibrary.org/asset/31164951,8,13,143,9,110,,K,Bryce
457836081,41.6457021,-71.7574177,3,https://macaulaylibrary.org/asset/457836081,12,11,145,11,132,,M,Sophia
457743571,42.326697,-85.3473759,3,https://macaulaylibrary.org/asset/457743571,10,10,90,12,132,,M,Sophia
457735241,42.3090019,-72.4802412,3,https://macaulaylibrary.org/asset/457735241,8,13,95,11,132,,M,Sophia
457634251,43.0310275,-89.4394713,3,https://macaulaylibrary.org/asset/457634251,NA,NA,NA,NA,NA,too noisy,M,Sophia
457420071,33.1479624,-83.7534984,4,https://macaulaylibrary.org/asset/457420071,6,8,97,12,132,,M,Sophia
457002851,42.6066224,-78.6235191,5,https://macaulaylibrary.org/asset/457002851,NA,NA,NA,NA,NA,"quiet, can't see any warbler",M,Sophia
456955331,39.8151456,-79.5891023,4,https://macaulaylibrary.org/asset/456955331,13,13,14,12,132,,M,Sophia
351587921,31.5442786,-89.029008,4,https://macaulaylibrary.org/asset/351587921,10,6,72,8,91,,D,"Sam, Alyssa, Fern, Kelly, April, Sophia"
351331421,43.2801663,-81.8125892,4,https://macaulaylibrary.org/asset/351331421,14,6,80,8,91,,D,"Sam, Alyssa, Fern, Kelly, April, Sophia"
351331411,43.2801663,-81.8125892,3,https://macaulaylibrary.org/asset/351331411,18,8,92,8,91,,D,"Sam, Alyssa, Fern, Kelly, April, Sophia"
351203511,42.1869503,-73.5971375,3,https://macaulaylibrary.org/asset/351203511,16,9,111,8,91,,D,"Sam, Alyssa, Fern, Kelly, April, Sophia"
350919141,43.2801663,-81.8125892,3.5,https://macaulaylibrary.org/asset/350919141,13,10,72,8,91,,D,"Sam, Alyssa, Fern, Kelly, April, Sophia"
350825671,38.3640313,-84.7452323,3,https://macaulaylibrary.org/asset/350825671,16,8,103,8,91,,D,"Sam, Alyssa, Fern, Kelly, April, Sophia"
350784161,42.4680852,-71.1582396,3,https://macaulaylibrary.org/asset/350784161,15,10,94,8,91,,D,"Sam, Alyssa, Fern, Kelly, April, Sophia"
350755091,41.0319425,-74.7411292,3.5,https://macaulaylibrary.org/asset/350755091,28,10,130,8,100,,D,"Sam, Alyssa, Fern, Kelly, April, Sophia"
350659621,43.3940482,-70.6263399,4.5,https://macaulaylibrary.org/asset/350659621,20,10,120,8,100,,D,"Sam, Alyssa, Fern, Kelly, April, Sophia"
350620081,41.927895,-73.723911,3.5,https://macaulaylibrary.org/asset/350620081,17,12,110,8,100,,D,"Sam, Alyssa, Fern, Kelly, April, Sophia"
350616401,41.0617371,-77.9071884,3,https://macaulaylibrary.org/asset/350616401,28,20,108,8,100,,D,"Sam, Alyssa, Fern, Kelly, April, Sophia"
350616281,41.0617371,-77.9071884,3,https://macaulaylibrary.org/asset/350616281,25,18,185,8,100,,D,"Sam, Alyssa, Fern, Kelly, April, Sophia"
350558551,41.478683,-81.97718,3,https://macaulaylibrary.org/asset/350558551,31,8,74,8,100,,D,"Sam, Alyssa, Fern, Kelly, April, Sophia"
350516801,41.6822544,-71.2382505,3,https://macaulaylibrary.org/asset/350516801,28,28,105,8,100,,D,"Sam, Alyssa, Fern, Kelly, April, Sophia"
350512771,41.1467412,-79.4988137,4,https://macaulaylibrary.org/asset/350512771,24,22,112,8,100,,D,"Sam, Alyssa, Fern, Kelly, April, Sophia"
350496691,38.181886,-77.517042,3,https://macaulaylibrary.org/asset/350496691,22,7,86,8,93,,D,"Sam, Alyssa, Fern, Kelly, April, Sophia"
350439711,41.478746,-81.979261,3.5,https://macaulaylibrary.org/asset/350439711,15,8,85,8,93,,D,"Sam, Alyssa, Fern, Kelly, April, Sophia"
350430891,41.4780938,-81.9772331,4.5,https://macaulaylibrary.org/asset/350430891,15,8,74,8,93,,D,"Sam, Alyssa, Fern, Kelly, April, Sophia"
350383031,41.4700009,-73.25881,3,https://macaulaylibrary.org/asset/350383031,26,8,120,8,93,,D,"Sam, Alyssa, Fern, Kelly, April, Sophia"
350377941,41.398118,-70.704297,5,https://macaulaylibrary.org/asset/350377941,12,5,73,8,93,,D,"Sam, Alyssa, Fern, Kelly, April, Sophia"
349989691,43.2666087,-76.3654238,3,https://macaulaylibrary.org/asset/349989691,12,7,73,8,93,,D,"Sam, Alyssa, Fern, Kelly, April, Sophia"
