"cat_num","Latitude","Longitude","quality","link","num_syllables","freq_range_mm","middle_syl_height_mm","duration_mm","two_khz_mm","two_sec_mm","skip_notes","group_letter","group_members"
602087071,40.3164873,-74.885323,4,"https://macaulaylibrary.org/asset/602087071","","","","","","","","",""
592208091,41.2902253,-70.0247644,1,"https://macaulaylibrary.org/asset/592208091","","","","","","","","",""
590667731,43.4224049,-89.6696873,2,"https://macaulaylibrary.org/asset/590667731","","","","","","","","",""
589664891,42.4736796,-71.649313,3,"https://macaulaylibrary.org/asset/589664891","","","","","","","","",""
589162871,41.234391,-74.2379055,3,"https://macaulaylibrary.org/asset/589162871","","","","","","","","",""
588665651,38.5057287,-90.5985832,4,"https://macaulaylibrary.org/asset/588665651","","","","","","","","",""
588225661,41.470146,-74.204748,0,"https://macaulaylibrary.org/asset/588225661","","","","","","","","",""
587771471,38.245774,-75.665468,0,"https://macaulaylibrary.org/asset/587771471","","","","","","","","",""
584696121,43.8313207,-73.406589,0,"https://macaulaylibrary.org/asset/584696121","","","","","","","","",""
583755831,41.1131688,-75.7244153,3,"https://macaulaylibrary.org/asset/583755831","","","","","","","","",""
581563951,42.009061,-75.992783,0,"https://macaulaylibrary.org/asset/581563951","","","","","","","","",""
581533061,42.009061,-75.992783,0,"https://macaulaylibrary.org/asset/581533061","","","","","","","","",""
581530951,43.3402465,-72.5136801,0,"https://macaulaylibrary.org/asset/581530951","","","","","","","","",""
581210131,40.448641,-80.318434,4,"https://macaulaylibrary.org/asset/581210131","","","","","","","","",""
580673921,29.6734,-81.2625,0,"https://macaulaylibrary.org/asset/580673921","","","","","","","","",""
580503471,32.5295196,-89.9382019,3,"https://macaulaylibrary.org/asset/580503471","","","","","","","","",""
579999571,39.8819474,-83.2180023,0,"https://macaulaylibrary.org/asset/579999571","","","","","","","","",""
466063711,41.0359237,-72.1389771,4.5,"https://macaulaylibrary.org/asset/466063711","","","","","","","","",""
464694351,27.5095641,-82.6649941,2.5,"https://macaulaylibrary.org/asset/464694351","","","","","","","","",""
463620271,43.8806651,-70.8004395,3.67,"https://macaulaylibrary.org/asset/463620271","","","","","","","","",""
462976061,44.5476532,-76.2477188,2,"https://macaulaylibrary.org/asset/462976061","","","","","","","","",""
462625331,45.3526278,-80.1909256,2.5,"https://macaulaylibrary.org/asset/462625331","","","","","","","","",""
462509961,44.228787,-69.863112,4,"https://macaulaylibrary.org/asset/462509961","","","","","","","","",""
461762451,41.6588008,-87.922318,3,"https://macaulaylibrary.org/asset/461762451","","","","","","","","",""
460911811,41.6822544,-71.2382505,2,"https://macaulaylibrary.org/asset/460911811","","","","","","","","",""
459252051,43.134101,-85.19332,4,"https://macaulaylibrary.org/asset/459252051","","","","","","","","",""
457959311,41.0319425,-74.7411292,2,"https://macaulaylibrary.org/asset/457959311","","","","","","","","",""
457420071,33.1479624,-83.7534984,4,"https://macaulaylibrary.org/asset/457420071","","","","","","","","",""
