"cat_num","Latitude","Longitude","quality","link","num_syllables","freq_range_mm","middle_syl_height_mm","duration_mm","two_khz_mm","two_sec_mm","skip_notes","group_letter","group_members"
608969342,43.2214303,-89.7989726,3,"https://macaulaylibrary.org/asset/608969342","","","","","","","","",""
595087241,38.175498,-84.864656,1,"https://macaulaylibrary.org/asset/595087241","","","","","","","","",""
589664881,42.4736796,-71.649313,3.5,"https://macaulaylibrary.org/asset/589664881","","","","","","","","",""
589664891,42.4736796,-71.649313,3,"https://macaulaylibrary.org/asset/589664891","","","","","","","","",""
588601541,44.9060047,-65.3501987,4,"https://macaulaylibrary.org/asset/588601541","","","","","","","","",""
588451301,44.9060123,-65.3514812,5,"https://macaulaylibrary.org/asset/588451301","","","","","","","","",""
588369751,43.40066,-70.62553,0,"https://macaulaylibrary.org/asset/588369751","","","","","","","","",""
588279941,43.415454,-89.7307706,0,"https://macaulaylibrary.org/asset/588279941","","","","","","","","",""
587973921,44.9060123,-65.3514812,2,"https://macaulaylibrary.org/asset/587973921","","","","","","","","",""
587410551,35.2503297,-87.3546038,0,"https://macaulaylibrary.org/asset/587410551","","","","","","","","",""
587273381,41.0689985,-79.4615364,3.33,"https://macaulaylibrary.org/asset/587273381","","","","","","","","",""
586263631,43.2798571,-70.7202776,0,"https://macaulaylibrary.org/asset/586263631","","","","","","","","",""
585690161,43.2214303,-89.7989726,0,"https://macaulaylibrary.org/asset/585690161","","","","","","","","",""
585515551,44.679498,-68.786311,0,"https://macaulaylibrary.org/asset/585515551","","","","","","","","",""
585421541,43.3940482,-70.6263399,3,"https://macaulaylibrary.org/asset/585421541","","","","","","","","",""
581530961,43.3402465,-72.5136801,0,"https://macaulaylibrary.org/asset/581530961","","","","","","","","",""
580343491,34.9483203,-82.801891,0,"https://macaulaylibrary.org/asset/580343491","","","","","","","","",""
481160081,41.4355842,-71.6682816,4,"https://macaulaylibrary.org/asset/481160081","","","","","","","","",""
466700421,43.8806651,-70.8004395,5,"https://macaulaylibrary.org/asset/466700421","","","","","","","","",""
466063711,41.0359237,-72.1389771,4.5,"https://macaulaylibrary.org/asset/466063711","","","","","","","","",""
464575711,41.7939856,-71.0306534,3,"https://macaulaylibrary.org/asset/464575711","","","","","","","","",""
463904451,41.4434217,-73.9734641,4.33,"https://macaulaylibrary.org/asset/463904451","","","","","","","","",""
463018961,41.016011,-74.745018,3,"https://macaulaylibrary.org/asset/463018961","","","","","","","","",""
462629081,41.355506,-70.67022,4,"https://macaulaylibrary.org/asset/462629081","","","","","","","","",""
462092301,41.6588008,-87.922318,4,"https://macaulaylibrary.org/asset/462092301","","","","","","","","",""
459412121,40.448641,-80.318434,1,"https://macaulaylibrary.org/asset/459412121","","","","","","","","",""
457959241,41.0319425,-74.7411292,2,"https://macaulaylibrary.org/asset/457959241","","","","","","","","",""
456925631,39.1939588,-77.1060175,4,"https://macaulaylibrary.org/asset/456925631","","","","","","","","",""
456745461,41.735262,-70.3847694,5,"https://macaulaylibrary.org/asset/456745461","","","","","","","","",""
456488841,39.1939588,-77.1060175,4.5,"https://macaulaylibrary.org/asset/456488841","","","","","","","","",""
455727511,40.569363,-91.658238,4,"https://macaulaylibrary.org/asset/455727511","","","","","","","","",""
354608991,37.35873,-90.02369,3,"https://macaulaylibrary.org/asset/354608991","","","","","","","","",""
353504251,40.4119276,-80.3952026,3,"https://macaulaylibrary.org/asset/353504251","","","","","","","","",""
352813291,39.186329,-76.897132,2.5,"https://macaulaylibrary.org/asset/352813291","","","","","","","","",""
351350371,44.4482727,-73.0491257,2,"https://macaulaylibrary.org/asset/351350371","","","","","","","","",""
350383031,41.4700009,-73.25881,3,"https://macaulaylibrary.org/asset/350383031","","","","","","","","",""
350206591,43.530246,-73.2336617,1.67,"https://macaulaylibrary.org/asset/350206591","","","","","","","","",""
349989691,43.2666087,-76.3654238,3,"https://macaulaylibrary.org/asset/349989691","","","","","","","","",""
349984501,44.139204,-70.487797,4,"https://macaulaylibrary.org/asset/349984501","","","","","","","","",""
349820501,39.793538,-74.275055,3,"https://macaulaylibrary.org/asset/349820501","","","","","","","","",""
349781761,36.442576,-79.795751,3,"https://macaulaylibrary.org/asset/349781761","","","","","","","","",""
349158251,41.0319425,-74.7411292,4,"https://macaulaylibrary.org/asset/349158251","","","","","","","","",""
346726361,38.70854,-90.75994,3,"https://macaulaylibrary.org/asset/346726361","","","","","","","","",""
346325651,42.0212167,-70.8722806,4,"https://macaulaylibrary.org/asset/346325651","","","","","","","","",""
345755321,41.4319095,-72.2873071,3,"https://macaulaylibrary.org/asset/345755321","","","","","","","","",""
278496301,42.7182439,-71.4009941,3,"https://macaulaylibrary.org/asset/278496301","","","","","","","","",""
250765241,41.2133357,-73.8296217,2,"https://macaulaylibrary.org/asset/250765241","","","","","","","","",""
248283591,36.593621,-82.852595,4,"https://macaulaylibrary.org/asset/248283591","","","","","","","","",""
247559681,42.398259,-83.987923,2,"https://macaulaylibrary.org/asset/247559681","","","","","","","","",""
247133341,44.7161124,-86.1163573,3,"https://macaulaylibrary.org/asset/247133341","","","","","","","","",""
246388471,44.5590717,-77.1170926,1,"https://macaulaylibrary.org/asset/246388471","","","","","","","","",""
246316311,41.398273,-70.704334,3,"https://macaulaylibrary.org/asset/246316311","","","","","","","","",""
246001191,41.858,-70.667,3.5,"https://macaulaylibrary.org/asset/246001191","","","","","","","","",""
245702631,43.3622238,-71.6049821,3,"https://macaulaylibrary.org/asset/245702631","","","","","","","","",""
244883931,39.814338,-83.9908218,3,"https://macaulaylibrary.org/asset/244883931","","","","","","","","",""
243889241,36.3998285,-87.2716291,2.5,"https://macaulaylibrary.org/asset/243889241","","","","","","","","",""
243648221,42.2235303,-76.2744478,3.5,"https://macaulaylibrary.org/asset/243648221","","","","","","","","",""
243319651,44.1263648,-89.8989901,2,"https://macaulaylibrary.org/asset/243319651","","","","","","","","",""
243319641,44.1263648,-89.8989901,3,"https://macaulaylibrary.org/asset/243319641","","","","","","","","",""
243170541,43.893053,-70.862448,1,"https://macaulaylibrary.org/asset/243170541","","","","","","","","",""
243106401,44.114991,-89.882483,3,"https://macaulaylibrary.org/asset/243106401","","","","","","","","",""
242777631,44.0082861,-70.9869234,3,"https://macaulaylibrary.org/asset/242777631","","","","","","","","",""
241828791,44.126283,-89.900235,1.5,"https://macaulaylibrary.org/asset/241828791","","","","","","","","",""
241781291,41.6806368,-71.3021922,2,"https://macaulaylibrary.org/asset/241781291","","","","","","","","",""
240633471,43.6989462,-73.3460045,3,"https://macaulaylibrary.org/asset/240633471","","","","","","","","",""
203918831,25.9496,-81.7505,4.2,"https://macaulaylibrary.org/asset/203918831","","","","","","","","",""
191966601,42.444542,-76.215065,3,"https://macaulaylibrary.org/asset/191966601","","","","","","","","",""
167046681,35.0231787,-89.2850304,3,"https://macaulaylibrary.org/asset/167046681","","","","","","","","",""
167045951,35.0231787,-89.2850304,1,"https://macaulaylibrary.org/asset/167045951","","","","","","","","",""
165799081,43.2547052,-81.8364716,4,"https://macaulaylibrary.org/asset/165799081","","","","","","","","",""
165340741,43.2801663,-81.8125892,4,"https://macaulaylibrary.org/asset/165340741","","","","","","","","",""
165280611,44.4198485,-70.8119783,2.5,"https://macaulaylibrary.org/asset/165280611","","","","","","","","",""
165062681,43.508689,-91.3480461,3,"https://macaulaylibrary.org/asset/165062681","","","","","","","","",""
164919811,44.3275149,-69.4289408,3.5,"https://macaulaylibrary.org/asset/164919811","","","","","","","","",""
164169751,42.291856,-76.657578,2.5,"https://macaulaylibrary.org/asset/164169751","","","","","","","","",""
164064221,40.1994676,-75.4040945,2.5,"https://macaulaylibrary.org/asset/164064221","","","","","","","","",""
163973581,44.5546324,-73.1198448,2,"https://macaulaylibrary.org/asset/163973581","","","","","","","","",""
163576371,40.5456626,-91.6162164,2.5,"https://macaulaylibrary.org/asset/163576371","","","","","","","","",""
163379911,44.5590717,-77.1170926,3.5,"https://macaulaylibrary.org/asset/163379911","","","","","","","","",""
163376561,44.6734347,-77.1429107,4.5,"https://macaulaylibrary.org/asset/163376561","","","","","","","","",""
162749261,42.6640086,-86.2162399,1.67,"https://macaulaylibrary.org/asset/162749261","","","","","","","","",""
162301551,42.326697,-85.3473759,2,"https://macaulaylibrary.org/asset/162301551","","","","","","","","",""
107328621,41.9358704,-75.9001207,2,"https://macaulaylibrary.org/asset/107328621","","","","","","","","",""
106743361,42.219,-71.064,3.33,"https://macaulaylibrary.org/asset/106743361","","","","","","","","",""
105653461,42.032272,-79.500192,1.5,"https://macaulaylibrary.org/asset/105653461","","","","","","","","",""
105491461,41.4423645,-70.6709236,3,"https://macaulaylibrary.org/asset/105491461","","","","","","","","",""
105480291,40.7022581,-74.6996035,3,"https://macaulaylibrary.org/asset/105480291","","","","","","","","",""
105394681,39.4731729,-76.2158489,4,"https://macaulaylibrary.org/asset/105394681","","","","","","","","",""
104278211,39.9030754,-76.3985395,4.5,"https://macaulaylibrary.org/asset/104278211","","","","","","","","",""
103992181,37.8712557,-78.31542,3,"https://macaulaylibrary.org/asset/103992181","","","","","","","","",""
91136301,43.3169877,-80.1534382,4,"https://macaulaylibrary.org/asset/91136301","","","","","","","","",""
61900571,41.709155,-87.8770047,2,"https://macaulaylibrary.org/asset/61900571","","","","","","","","",""
61272281,35.9567971,-83.8484901,4.67,"https://macaulaylibrary.org/asset/61272281","","","","","","","","",""
61141991,43.3600089,-72.3684454,3.5,"https://macaulaylibrary.org/asset/61141991","","","","","","","","",""
60886961,42.2400118,-72.6513112,4.5,"https://macaulaylibrary.org/asset/60886961","","","","","","","","",""
60226741,41.4151829,-72.9653549,2.5,"https://macaulaylibrary.org/asset/60226741","","","","","","","","",""
60218741,38.1426173,-87.2398138,2,"https://macaulaylibrary.org/asset/60218741","","","","","","","","",""
139498,39.1145,-86.3978,3,"https://macaulaylibrary.org/asset/139498","","","","","","","","",""
31164951,41.4219643,-72.8979369,3,"https://macaulaylibrary.org/asset/31164951","","","","","","","","",""
30525701,42.7015506,-86.1950397,3,"https://macaulaylibrary.org/asset/30525701","","","","","","","","",""
