"cat_num","Latitude","Longitude","quality","link","num_syllables","freq_range_mm","middle_syl_height_mm","duration_mm","two_khz_mm","two_sec_mm","skip_notes","group_letter","group_members"
612461737,42.5781808,-72.0871709,4,"https://macaulaylibrary.org/asset/612461737","","","","","","","","",""
608969341,43.2214303,-89.7989726,2,"https://macaulaylibrary.org/asset/608969341","","","","","","","","",""
599328731,32.8388516,-94.428885,3,"https://macaulaylibrary.org/asset/599328731","","","","","","","","",""
593054331,43.4221097,-89.6523565,4,"https://macaulaylibrary.org/asset/593054331","","","","","","","","",""
591610061,38.840717,-75.258354,4,"https://macaulaylibrary.org/asset/591610061","","","","","","","","",""
588890731,44.90742,-65.348108,0,"https://macaulaylibrary.org/asset/588890731","","","","","","","","",""
587277461,41.7474781,-77.0247048,2,"https://macaulaylibrary.org/asset/587277461","","","","","","","","",""
586319341,44.5652542,-77.1009064,2,"https://macaulaylibrary.org/asset/586319341","","","","","","","","",""
586263631,43.2798571,-70.7202776,0,"https://macaulaylibrary.org/asset/586263631","","","","","","","","",""
585560261,39.9897364,-83.2542905,0,"https://macaulaylibrary.org/asset/585560261","","","","","","","","",""
585217031,39.9897364,-83.2542905,0,"https://macaulaylibrary.org/asset/585217031","","","","","","","","",""
585116801,40.3308426,-74.9402332,0,"https://macaulaylibrary.org/asset/585116801","","","","","","","","",""
584748051,44.559193,-77.116476,0,"https://macaulaylibrary.org/asset/584748051","","","","","","","","",""
583945661,41.7519632,-77.2909192,0,"https://macaulaylibrary.org/asset/583945661","","","","","","","","",""
582869681,43.3254509,-72.5138801,0,"https://macaulaylibrary.org/asset/582869681","","","","","","","","",""
582620411,35.9489782,-84.3968319,0,"https://macaulaylibrary.org/asset/582620411","","","","","","","","",""
582465461,43.2214303,-89.7989726,3,"https://macaulaylibrary.org/asset/582465461","","","","","","","","",""
582145551,40.93405,-89.417133,3,"https://macaulaylibrary.org/asset/582145551","","","","","","","","",""
581533061,42.009061,-75.992783,0,"https://macaulaylibrary.org/asset/581533061","","","","","","","","",""
581431881,45.115898,-68.32556,0,"https://macaulaylibrary.org/asset/581431881","","","","","","","","",""
581210131,40.448641,-80.318434,4,"https://macaulaylibrary.org/asset/581210131","","","","","","","","",""
581098561,39.7401108,-77.3969598,1.5,"https://macaulaylibrary.org/asset/581098561","","","","","","","","",""
580795681,36.2487623,-96.5498418,3.5,"https://macaulaylibrary.org/asset/580795681","","","","","","","","",""
467791111,40.9955955,-72.0642866,4,"https://macaulaylibrary.org/asset/467791111","","","","","","","","",""
466700421,43.8806651,-70.8004395,5,"https://macaulaylibrary.org/asset/466700421","","","","","","","","",""
466064351,41.0359237,-72.1389771,3,"https://macaulaylibrary.org/asset/466064351","","","","","","","","",""
465691531,38.6455061,-77.2361183,3,"https://macaulaylibrary.org/asset/465691531","","","","","","","","",""
464797521,44.726989,-69.631492,2.5,"https://macaulaylibrary.org/asset/464797521","","","","","","","","",""
464018931,37.549989,-90.846613,1.5,"https://macaulaylibrary.org/asset/464018931","","","","","","","","",""
463003141,41.6907325,-71.6984815,5,"https://macaulaylibrary.org/asset/463003141","","","","","","","","",""
462200711,41.6588008,-87.922318,3.5,"https://macaulaylibrary.org/asset/462200711","","","","","","","","",""
461289781,38.82111,-77.54685,4.5,"https://macaulaylibrary.org/asset/461289781","","","","","","","","",""
459321721,43.1340968,-85.193574,4,"https://macaulaylibrary.org/asset/459321721","","","","","","","","",""
459003271,32.763541,-94.477647,3,"https://macaulaylibrary.org/asset/459003271","","","","","","","","",""
