"cat_num","Latitude","Longitude","quality","link","num_syllables","freq_range_mm","middle_syl_height_mm","duration_mm","two_khz_mm","two_sec_mm","skip_notes","group_letter","group_members"
612461737,42.5781808,-72.0871709,4,"https://macaulaylibrary.org/asset/612461737","","","","","","","","",""
593740291,43.8313207,-73.406589,4.5,"https://macaulaylibrary.org/asset/593740291","","","","","","","","",""
592345881,43.8107073,-71.8923877,4,"https://macaulaylibrary.org/asset/592345881","","","","","","","","",""
591661171,44.9060123,-65.3514812,2,"https://macaulaylibrary.org/asset/591661171","","","","","","","","",""
589664891,42.4736796,-71.649313,3,"https://macaulaylibrary.org/asset/589664891","","","","","","","","",""
588890731,44.90742,-65.348108,0,"https://macaulaylibrary.org/asset/588890731","","","","","","","","",""
588539171,43.415454,-89.7307706,0,"https://macaulaylibrary.org/asset/588539171","","","","","","","","",""
588359271,44.907832,-65.347478,0,"https://macaulaylibrary.org/asset/588359271","","","","","","","","",""
587277461,41.7474781,-77.0247048,2,"https://macaulaylibrary.org/asset/587277461","","","","","","","","",""
587023861,41.6348031,-70.5607738,0,"https://macaulaylibrary.org/asset/587023861","","","","","","","","",""
586069641,43.2547052,-81.8364716,3,"https://macaulaylibrary.org/asset/586069641","","","","","","","","",""
585560261,39.9897364,-83.2542905,0,"https://macaulaylibrary.org/asset/585560261","","","","","","","","",""
583778941,41.8633019,-73.987365,0,"https://macaulaylibrary.org/asset/583778941","","","","","","","","",""
582974341,39.9897364,-83.2542905,3,"https://macaulaylibrary.org/asset/582974341","","","","","","","","",""
582620411,35.9489782,-84.3968319,0,"https://macaulaylibrary.org/asset/582620411","","","","","","","","",""
582588241,44.4604801,-69.8335326,2,"https://macaulaylibrary.org/asset/582588241","","","","","","","","",""
581610611,40.9635235,-73.0153489,1,"https://macaulaylibrary.org/asset/581610611","","","","","","","","",""
581533061,42.009061,-75.992783,0,"https://macaulaylibrary.org/asset/581533061","","","","","","","","",""
580652381,36.387627,-87.012721,0,"https://macaulaylibrary.org/asset/580652381","","","","","","","","",""
532680721,39.3297166,-82.3486662,2.5,"https://macaulaylibrary.org/asset/532680721","","","","","","","","",""
510538621,41.4355842,-71.6682816,4,"https://macaulaylibrary.org/asset/510538621","","","","","","","","",""
464857161,37.264083,-84.785067,2,"https://macaulaylibrary.org/asset/464857161","","","","","","","","",""
462235471,44.1259168,-89.8781667,3,"https://macaulaylibrary.org/asset/462235471","","","","","","","","",""
462092301,41.6588008,-87.922318,4,"https://macaulaylibrary.org/asset/462092301","","","","","","","","",""
461926531,41.6348031,-70.5607738,3,"https://macaulaylibrary.org/asset/461926531","","","","","","","","",""
461508141,39.4385815,-76.2213028,3,"https://macaulaylibrary.org/asset/461508141","","","","","","","","",""
459777881,39.579976,-75.8525169,2,"https://macaulaylibrary.org/asset/459777881","","","","","","","","",""
459412131,40.448641,-80.318434,3,"https://macaulaylibrary.org/asset/459412131","","","","","","","","",""
459412101,40.448641,-80.318434,1,"https://macaulaylibrary.org/asset/459412101","","","","","","","","",""
458459241,43.8313207,-73.406589,4,"https://macaulaylibrary.org/asset/458459241","","","","","","","","",""
458453311,41.4319095,-72.2873071,3,"https://macaulaylibrary.org/asset/458453311","","","","","","","","",""
457959291,41.0319425,-74.7411292,5,"https://macaulaylibrary.org/asset/457959291","","","","","","","","",""
456940171,34.1238844,-78.0358028,5,"https://macaulaylibrary.org/asset/456940171","","","","","","","","",""
456302391,35.6016208,-86.9995136,4,"https://macaulaylibrary.org/asset/456302391","","","","","","","","",""
