ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
616881456,Audio,Prairie Warbler,Setophaga discolor,"Icteria virens -- Yellow-breasted Chat; Passerina cyanea -- Indigo Bunting",Katrina Theisen,2023-04-27,2023,4,27,939,United States,US-TX-373,Texas,Polk,"77351, Livingston US-TX 30.90634, -95.03358",30.9063380,-95.0335770,"",Song,Unspecified,"","",,,iPhone 12 mini,,,,S135174217,"",,,Insect and frog noise,,Setophaga discolor,prawar,Species,33643,,4.00,1,"",,
616871141,Audio,Prairie Warbler,Setophaga discolor,,nikki bryer-kraft,2024-04-03,2024,4,3,550,United States,US-FL-099,Florida,Palm Beach,1 My Home in The Shores,26.9556753,-80.1283711,"",,Unspecified,"","",,,,,,,S167082123,"",,,,,Setophaga discolor,prawar,Species,33643,,.00,0,,,
616835847,Audio,Prairie Warbler,Setophaga discolor,,Rob Bielawski,2024-03-31,2024,3,31,1023,United States,US-VA-810,Virginia,Virginia Beach,Back Bay NWR--Frank Carter Impoundments,36.7240571,-75.9760091,"",Song,Not Used,"","",,,,,,,S166643087,"",,,,"Personal first-of-spring in Virginia Beach (and a new personal early date); photographed and voice recorded.",Setophaga discolor,prawar,Species,33643,,2.00,1,"",,
616835840,Audio,Prairie Warbler,Setophaga discolor,,Rob Bielawski,2024-03-31,2024,3,31,1023,United States,US-VA-810,Virginia,Virginia Beach,Back Bay NWR--Frank Carter Impoundments,36.7240571,-75.9760091,"",Song,Not Used,"","",,,,,,,S166643087,"",,,,"Personal first-of-spring in Virginia Beach (and a new personal early date); photographed and voice recorded.",Setophaga discolor,prawar,Species,33643,,2.00,1,"",,
616821735,Audio,Prairie Warbler,Setophaga discolor,,Karen Lebing,2024-04-02,2024,4,2,748,United States,US-NC-055,North Carolina,Dare,Alligator River NWR--Possum Rd.,35.7910596,-75.9169264,Adult – 1,,Unspecified,"","",,,iPhone,,,,S166930052,"",,,,,Setophaga discolor,prawar,Species,33643,,3.00,1,,,
616785864,Audio,Prairie Warbler,Setophaga discolor,,Matt Cahill,2024-04-01,2024,4,1,1151,United States,US-SC-019,South Carolina,Charleston,Santee Coastal Reserve (fall and winter restricted access),33.1477339,-79.3961066,"",,Unspecified,"","",,,,,,,S166864102,"",,,,,Setophaga discolor,prawar,Species,33643,,.00,0,,,
616729056,Audio,Prairie Warbler,Setophaga discolor,,Laura Mae,2024-03-30,2024,3,30,725,United States,US-VA-800,Virginia,Suffolk,Great Dismal Swamp NWR--Hudnell Ditch,36.7196227,-76.5026093,"",,Unspecified,"","",,,,,,,S166500762,"",,,,,Setophaga discolor,prawar,Species,33643,,.00,0,,,
616725395,Audio,Prairie Warbler,Setophaga discolor,,Oscar Johnson,2024-03-30,2024,3,30,813,United States,US-FL-071,Florida,Lee,Lovers Key SP,26.3911316,-81.8713188,Adult Male – 1,Song,Unspecified,"","",,,Sound Devices MixPre-3,Sennheiser MKE 600 Shotgun Microphone,,,S166468186,"",,,,,Setophaga discolor,prawar,Species,33643,,3.00,1,"",,
616723986,Audio,Prairie Warbler,Setophaga discolor,Cardinalis cardinalis -- Northern Cardinal,Oscar Johnson,2024-03-30,2024,3,30,813,United States,US-FL-071,Florida,Lee,Lovers Key SP,26.3911316,-81.8713188,Adult Male – 1,Song,Not Used,"","",,,Sound Devices MixPre-3,Sennheiser MKE 600 Shotgun Microphone,,,S166468186,"",,,Likely the same individual as ML616723986,,Setophaga discolor,prawar,Species,33643,,2.00,1,"",,
616529377,Audio,Prairie Warbler,Setophaga discolor,,Mary Harrell,2024-03-26,2024,3,26,1405,United States,US-FL-031,Florida,Duval,"Jacksonville Park (Mayport), Kathryn Abbey Hanna Park--Lake",30.3682247,-81.4065285,"",,Unspecified,"","",,,,,,,S166062559,"",,,,,Setophaga discolor,prawar,Species,33643,,1.00,1,,,
616527568,Audio,Prairie Warbler,Setophaga discolor,,Anonymous,2024-03-26,2024,3,26,900,United States,US-FL-103,Florida,Pinellas,Fort De Soto Park,27.6327266,-82.7181570,"",,Unspecified,"","",,,,,,,S166097533,"",,,,"Seen and heard along sandy trail populated primarily  with Coccoloba uvifera/sea grape-- singing every few minutes, seen foraging quickly when finally in view",Setophaga discolor,prawar,Species,33643,,.00,0,,,
616527561,Audio,Prairie Warbler,Setophaga discolor,,Anonymous,2024-03-26,2024,3,26,900,United States,US-FL-103,Florida,Pinellas,Fort De Soto Park,27.6327266,-82.7181570,"",,Unspecified,"","",,,,,,,S166097533,"",,,,"Seen and heard along sandy trail populated primarily  with Coccoloba uvifera/sea grape-- singing every few minutes, seen foraging quickly when finally in view",Setophaga discolor,prawar,Species,33643,,.00,0,,,
616512565,Audio,Prairie Warbler,Setophaga discolor,,Kenny BirdingRx,2024-03-26,2024,3,26,901,United States,US-FL-099,Florida,Palm Beach,Winston Trails (Restricted Access),26.5788792,-80.1321970,"",,Unspecified,"","",,,,,,,S166038326,"",,,,Singing,Setophaga discolor,prawar,Species,33643,,.00,0,,,
616495748,Audio,Prairie Warbler,Setophaga discolor,,Jeff Graham,2024-03-18,2024,3,18,1022,United States,US-FL-031,Florida,Duval,Duval Co.--Miramar area,30.2829705,-81.6566241,Adult Male – 1,"Foraging or Eating; Song",Not Used,"","",,,MixPre3,Sennheiser ME62,Parabola,,S165298722,"",,,,,Setophaga discolor,prawar,Species,33643,,5.00,1,"",,
616469113,Audio,Prairie Warbler,Setophaga discolor,,Tom Marvel,2024-03-25,2024,3,25,735,United States,US-FL-021,Florida,Collier,Marco Island--Tiger Tail Beach,25.9480980,-81.7445600,"",,Unspecified,"","",,,,,,,S165933803,"",,,,,Setophaga discolor,prawar,Species,33643,,3.00,1,,,
616418194,Audio,Prairie Warbler,Setophaga discolor,,Edwin Wilke,2024-03-17,2024,3,17,1041,United States,US-FL-071,Florida,Lee,Lovers Key SP,26.3911316,-81.8713188,"",,Unspecified,"","",,,,,,,S165153323,"",,,,,Setophaga discolor,prawar,Species,33643,,.00,0,,,
616383122,Audio,Prairie Warbler,Setophaga discolor,,Anonymous,2024-03-23,2024,3,23,1208,United States,US-FL-057,Florida,Hillsborough,Fishhawk,27.8425875,-82.2141467,"",,Unspecified,"","",,,,,,,S165742249,"",,,,,Setophaga discolor,prawar,Species,33643,,.00,0,,,
616223827,Audio,Prairie Warbler,Setophaga discolor,,Kathy Doddridge,2024-03-18,2024,3,18,957,United States,US-FL-081,Florida,Manatee,Emerson Point Preserve,27.5320111,-82.6256604,"",,Unspecified,"","",,,,,,,S165293067,"",,,,,Setophaga discolor,prawar,Species,33643,,.00,0,,,
616208485,Audio,Prairie Warbler,Setophaga discolor,,Billie Knight,2024-03-18,2024,3,18,940,United States,US-FL-081,Florida,Manatee,Emerson Point Preserve,27.5320111,-82.6256604,"",,Unspecified,"","",,,,,,,S165297237,"",,,,,Setophaga discolor,prawar,Species,33643,,.00,0,,,
615966366,Audio,Prairie Warbler,Setophaga discolor,,Taylor Smith,2024-03-12,2024,3,12,1102,United States,US-FL-103,Florida,Pinellas,Eckerd College,27.7130332,-82.6875043,"",,Unspecified,"","",,,,,,,S164562042,"",,,,,Setophaga discolor,prawar,Species,33643,,.00,0,,,
